Vessel_CAT_ID,Vessel_ID,Vessel_Name,Vessel_Type,Vessel_Captain,Vessel_Type,Vessel_Category,Abbreviation
SCHR,SCHR_A000039,A. Pancost,Schooner,Pancost,,,
SCHR,SCHR_A000040,A. Pharo,Schooner,Cranmer,,,
SCHR,SCHR_A000041,A. Predmore,Schooner,Cramer,,,
SCHR,SCHR_A000042,A. Pridmore,Schooner,Pridmore,,,
SCHR,SCHR_A000043,A. R. Elliott,Schooner,,,,
SCHR,SCHR_A000044,A. R. Hay,Schooner,Grant,,,
SCHR,SCHR_A000045,A. R. Johnson,Schooner,Burrows,,,
SCHR,SCHR_A000045,A. R. Johnson,Schooner,Patterson,,,
SCHR,SCHR_A000047,A. R. K. Hawley,Schooner,Davis,,,
SCHR,SCHR_A000048,A. R. Wallace,Schooner,North,,,
SCHR,SCHR_A000048,A. R. Wallace,Schooner,,,,
SCHR,SCHR_A000048,A. R. Wallis,Schooner,North,,,
SCHR,SCHR_A000051,A. R. Welmore,Schooner,Bogert,,,
SCHR,SCHR_A000051,A. R. Wetmore,Schooner,Dearborn,,,
SCHR,SCHR_A000051,A. R. Wetmore,Schooner,Chadwick,,,
SCHR,SCHR_A000051,A. R. Wetmore,Schooner,Bogart,,,
SCHR,SCHR_A000051,A. R. Wetmore,Schooner,Bogert,,,
SCHR,SCHR_A000051,A. R. Wetmore,Schooner,,,,
SCHR,SCHR_A000057,A. Ray,Schooner,Creekmore,,,
SCHR,SCHR_A000058,A. Reddick,Schooner,Dunbar,,,
SCHR,SCHR_A000058,A. Riddick,Schooner,Danbar,,,
SCHR,SCHR_A000060,A. S. Eells,Schooner,Shephard,,,
SCHR,SCHR_A000061,A. Townsend,Schooner,Townsend,,,
SCHR,SCHR_A000062,A. V. Bedell,Schooner,Ryder,,,
SCHR,SCHR_A000062,A. V. Bedell,Schooner,Rider,,,
SCHR,SCHR_A000064,A. V. Cleaf,Schooner,,,,
SCHR,SCHR_A000064,A. Van Cleaf,Schooner,Van Cleaf,,,
SCHR,SCHR_A000064,A. Vancleaf,Schooner,Vancleaf,,,
SCHR,SCHR_A000064,A. Vancleirf,Schooner,Vancleif,,,
SCHR,SCHR_A000064,A. Vandief,Schooner,Vandief,,,
SCHR,SCHR_A000069,A. W. Brown,Schooner,Endicott,,,
SCHR,SCHR_A000070,A. W. Hawkins,Schooner,,,,
SCHR,SCHR_A000071,A. W. Thompson,Schooner,,,,
SCHR,SCHR_A000072,Abbe Lindley,Schooner,Chase,,,
SCHR,SCHR_A000073,Abby Morton,Schooner,Sampson,,,
SCHR,SCHR_A000073,Abby Morton,Schooner,Lamson,,,
SCHR,SCHR_A000075,Abby Welld,Schooner,Bullock,,,
SCHR,SCHR_A000076,Abdel Kader,Schooner,Brown,,,
SCHR,SCHR_A000076,Abdell Kader,Schooner,Cornelius,,,
SCHR,SCHR_A000078,Abi Albon,Schooner,Crowell,,,
SCHR,SCHR_A000079,Abner and Bethney,Schooner,Cheser,,,
SCHR,SCHR_A000080,Abraham Osborne,Schooner,Phillips,,,
SCHR,SCHR_A000080,Abram Osborne,Schooner,Thompson,,,
SCHR,SCHR_A000082,Access,Schooner,Adams,,,
SCHR,SCHR_A000082,Access,Schooner,Burnett,,,
SCHR,SCHR_A000082,Access,Schooner,Bennett,,,
SCHR,SCHR_A000085,Accomac,Schooner,Wools,,,
SCHR,SCHR_A000085,Accomac,Schooner,Fisher,,,
SCHR,SCHR_A000085,Accomack,Schooner,Pickett,,,
SCHR,SCHR_A000088,Ada,Schooner,Woolford,,,
SCHR,SCHR_A000089,Ada Frances,Schooner,,,,
SCHR,SCHR_A000090,Ada Woolford,Schooner,,,,
SCHR,SCHR_A000091,Adaliza,Schooner,,,,
SCHR,SCHR_A000092,Adam Clarke,Schooner,Olin,,,
SCHR,SCHR_A000093,Adda,Schooner,Woolford,,,
SCHR,SCHR_A000094,Adda E. Barnes,Schooner,Bettsworth,,,
SCHR,SCHR_A000094,Addie E. Barnes,Schooner,,,,
SCHR,SCHR_A000094,Addie E. Barnes,Schooner,Betsworth,,,
SCHR,SCHR_A000097,Adelaide,Schooner,Smith,,,
SCHR,SCHR_A000097,Adelaide,Schooner,Colman,,,
SCHR,SCHR_A000097,Adelaide,Schooner,Coleman,,,
SCHR,SCHR_A000097,Adelaide,Schooner,Sampson,,,
SCHR,SCHR_A000097,Adelaide,Schooner,Jameston,,,
SCHR,SCHR_A000097,Adelaide,Schooner,,,,
SCHR,SCHR_A000103,Adelaide Leroy,Schooner,Hassin,,,
SCHR,SCHR_A000104,Adelbarron,Schooner,Crowell,,,
SCHR,SCHR_A000105,Adelia Kelley,Schooner,Kelley,,,
SCHR,SCHR_A000106,Adeline,Schooner,Philips,,,
SCHR,SCHR_A000106,Adeline,Schooner,Todd,,,
SCHR,SCHR_A000106,Adeline,Schooner,Bailey,,,
SCHR,SCHR_A000106,Adeline,Schooner,Jenkins,,,
SCHR,SCHR_A000110,Adeline Lownsend,Schooner,,,,
SCHR,SCHR_A000111,Adeliza,Schooner,Prescott,,,
SCHR,SCHR_A000112,Adeona,British Schooner,Phillips,,,
SCHR,SCHR_A000113,Adrian,Schooner,Aaron,,,
SCHR,SCHR_A000114,Adriana,Schooner,Sergeant,,,
SCHR,SCHR_A000114,Adrianna,Schooner,Sergeant,,,
SCHR,SCHR_A000116,Adriatic,Schooner,Hall,,,
SCHR,SCHR_A000117,Adromeda,Schooner,Rowland,,,
SCHR,SCHR_A000117,Adromeda,Schooner,Rawley,,,
SCHR,SCHR_A000119,Advocate,Schooner,Fields,,,
SCHR,SCHR_A000120,Agate,Schooner,Atkins,,,
SCHR,SCHR_A000121,Agility,Schooner,,,,
SCHR,SCHR_A000122,Aid,Schooner,Riggin,,,
SCHR,SCHR_A000123,Alabama,Schooner,Vangilder,,,
SCHR,SCHR_A000123,Alabama,Schooner,,,,
SCHR,SCHR_A000125,Alba,Schooner,Powell,,,
